ß«¥À«¬¬ÈÕπÀ≈—ß,√“ß«—≈∑’Ë 1,‡≈¢ÀπÈ“ 3 µ—«,‡≈¢∑È“¬ 3 µ—«,‡≈¢∑È“¬ 2 µ—«
1/12/2566,√Õº≈√“ß«—≈,√Õº≈√“ß«—≈,√Õº≈√“ß«—≈,√Õº≈√“ß«—≈
16/11/2566,557990,412† 346,778† 961,14
1/11/2566,743951,913† 335,019† 349,63
16/10/2566,931446,398† 167,970† 272,44
1/10/2566,727202,355 324,426† 615,66
16/9/2566,320812,699† 037,344† 057,46
1/9/2566,915478,521† 596,692 291,91
16/8/2566,471782,431† 739,737† 742,67
31/7/2566,260453,"268,708","387, 601",11
1/8/2566,260453,"268,708","387, 601",11
16/7/2566,169530,"261, 384","780, 066",62
1/7/2566,922605,"281, 867","491, 947",16
16/6/2566,264872,"519 , 628","202, 874",30
1/6/2566,125272,"681, 000","971, 386",9
16/5/2566,132903,"739, 678","693, 731",99
2/5/2566,843019,"500, 780","269, 187",65
16/4/2566,984906,"670, 678","797, 551",71
1/4/2566,87907,"111, 914","698, 290",99
16/3/2566,25873,"420, 800","355, 544",73
1/3/2566,417652,"577, 919","748, 984",55
16/2/2566,590417,"664, 195","523, 377",80
1/2/2566,297411,"181, 789","101, 664",92
17/1/2566,812519,"443, 389","849, 564",47
30/12/2565,157196,"007, 522","250, 425",58
16/12/2565,845093,"912, 411","855, 593",14
1/12/2565,375805,"170, 786","409, 421",8
16/11/2565,121789,"722, 532","157, 973",64
1/11/2565,913106,"722, 839","343, 922",70
16/10/2565,613106,"158†,†037","606†,†799",15
1/10/2565,484669,"206 , 996","278 , 194",50
16/9/2565,943703,"971 , 540","631 , 432",75
1/9/2565,929332,"725, 298","604, 210",83
16/8/2565,331583,"271, 300","284, 876",42
1/8/2565,436594,"893, 266","447, 282",14
16/7/2565,620405,"159, 834","279, 061",53
1/7/2565,981417,"287,242","002, 542",61
16/6/2565,361807,"549†,†285","228 , 106",92
1/6/2565,319196,"817, 679","213, 652",2
16/5/2565,155012,"247, 736","540, 236",6
2/5/2565,658642,"778, 518","041, 325",9
16/4/2565,395919,"859 ,289","413,508",58
1/4/2565,970618,"738, 391","578, 870",10
16/3/2565,737867,"349, 985","989, 788",3
1/3/2565,61905,"236, 834","234, 691",7
17/2/2565,98597,"644 , 085","816 , 592",57
1/2/2565,944308,942† 061,509† 485,30
17/1/2565,880159,"731 , 786","529, 119",92
30/12/2564,819068,"591 , 979","547 , 419",36
16/12/2564,639235,"097, 629","476, 522",83
1/12/2564,77258,"740, 739","485, 401",82
16/11/2564,32761,"648, 471","844, 245",57
1/11/2564,45037,"458, 247","755, 331",95
16/10/2564,386372,"602, 964","295, 798",38
1/10/2564,578171,"285, 361","379, 449",83
16/9/2564,70935,"609, 817","379, 007",90
1/9/2564,114475,"278, 302","458, 123",79
16/8/2564,46750,"421, 666","160, 355",23
1/8/2564,910261,"103 , 307","004 , 785",69
16/7/2564,556725,"174, 058","233, 927",70
1/7/2564,713517,"794, 073","511, 414",29
16/6/2564,691861,"054, 007","447, 668",17
1/6/2564,292972,"620, 193","978, 723",45
16/5/2564,684579,"843, 615","276, 970",14
2/5/2564,501272,"306, 018","498, 129",18
16/4/2564,100787,"143, 013","478 , 264",56
1/4/2564,472270,"755, 283","393, 577",5
16/3/2564,890422,"036, 902","396, 256",19
1/3/2564,835538,"290, 838","051, 806",73
16/2/2564,424603,"861, 318","057, 817",39
1/2/2564,912307,"605, 248","282, 651",97
17/1/2564,384395,"367, 653","566, 878",15
31/12/2563,803628,"336, 804","924, 321",19
16/12/2563,201303,"377, 828","072, 517",70
1/12/2563,100994,"093, 776","984, 834",84
16/11/2563,972661,"368, 741","208, 255",46
1/11/2563,506404,"154, 598","245, 062",40
16/10/2563,286051,"189, 464","980, 045",38
1/10/2563,837893,"757, 594","595, 110",59
16/9/2563,244083,"220, 127","853, 623",57
1/9/2563,999997,"725, 636","957, 342",98
16/8/2563,945811,"712, 614","364, 733",88
1/8/2563,569391,"931, 575","578, 809",92
16/7/2563,873286,"510, 533","682, 494",53
1/7/2563,347258,"362, 095","307, 094",83
16/6/2563,516967,"876, 882","625, 565",64
1/6/2563,831567,"489, 264","562, 582",24
16/5/2563,51095,"430, 285","191, 364",22
16/3/2563,503446,"258, 726","404, 661",77
1/3/2563,875938,"294, 328","597, 780",98
16/2/2563,781403,"294, 328","030, 918",94
1/2/2563,589227,"552, 259","375, 927",6
17/1/2563,491774,"004, 132","379, 595",68
